id_equipo_local,id_equipo_visitante,goles_local,goles_visitante,resultado,arbitro,fixture_id,fecha_timestamp,goles_descanso_local,goles_descanso_visitante,estadio,season
731,535,2,1,1,Isidro Díaz de Mera,214840,1594661400,2.0,0.0,Estadio Municipal El Molinón,2019
732,718,2,4,2,Gorka Sagues,214841,1594583100,0.0,2.0,Estadio de la Romareda,2019
722,732,4,1,1,Aitor Gorostegui,214842,1595012400,3.0,1.0,Estadio Carlos Belmonte,2019
860,731,2,0,1,Iosu Galech,214843,1595012400,2.0,0.0,Estadio Francisco de la Hera,2019
4906,797,3,1,1,Jorge Figueroa,214844,1595012400,0.0,0.0,Estadio Fernando Torres,2019
547,724,2,1,1,Alejandro Muñiz,214845,1595012400,1.0,0.0,Estadi Municipal de Montilivi,2019
726,717,3,0,1,José López,214846,1595012400,0.0,0.0,Estadio El Alcoraz,2019
799,544,1,0,1,Víctor Areces,214847,1595012400,1.0,0.0,Estadio Municipal de Anduva,2019
535,711,2,0,1,Santiago Varón,214848,1595012400,1.0,0.0,Estadio La Rosaleda,2019
4907,723,2,1,1,Miguel Ortiz,214849,1595012400,1.0,1.0,Estadio El Toralín,2019
718,4665,1,0,1,Daniel Trujillo,214850,1595012400,1.0,0.0,Estadio Nuevo Carlos Tartiere,2019
728,534,2,2,0,Luis Milla,214851,1595012400,1.0,1.0,Estadio de Vallecas,2019
719,716,1,2,2,Oliver De La Fuente,214852,1595012400,0.0,0.0,Estadio Heliodoro Rodríguez Lopéz,2019
711,547,2,0,1,Juan Pulido,214853,1595271600,0.0,0.0,Estadio Santo Domingo,2019
723,535,0,0,0,Saúl Ais,214854,1595271600,0.0,0.0,Estadio de los Juegos Mediterráneos,2019
724,722,0,1,2,Iñaki Bikandi,214855,1595271600,0.0,0.0,Estadio Ramón de Carranza,2019
544,4906,2,1,1,Isidro Díaz de Mera,214856,1596823200,0.0,1.0,Estadio Abanca-Riazor,2019
797,718,2,1,1,Álvaro Moreno,214857,1595271600,1.0,1.0,Estadio Manuel Martínez Valero,2019
534,860,5,1,1,Javier Iglesias,214858,1595262600,4.0,0.0,Estadio de Gran Canaria,2019
716,799,2,1,1,Daniel Ocón,214859,1595271600,0.0,1.0,Estadio Anxo Carro,2019
717,719,2,1,1,Rubén Ávalos,214860,1595271600,1.0,0.0,Nuevo Estadio Los Pajaritos,2019
4665,728,1,2,2,Jon González,214861,1595271600,1.0,0.0,Campos de Sport de El Sardinero,2019
731,726,0,1,2,Gorka Sagues,214862,1595271600,0.0,0.0,Estadio Municipal El Molinón,2019
732,4907,2,1,1,Dámaso Arcediano,214863,1595271600,1.0,0.0,Estadio de la Romareda,2019
547,723,1,0,1,Javier Iglesias,571933,1597339800,0.0,0.0,Estadi Municipal de Montilivi,2019
723,547,1,2,2,Isidro Díaz de Mera,571934,1597597200,1.0,1.0,Estadio de los Juegos Mediterráneos,2019
797,732,0,0,0,Rubén Ávalos,585043,1597348800,0.0,0.0,Estadio Manuel Martínez Valero,2019
732,797,0,1,2,Jorge Figueroa,585044,1597608000,0.0,0.0,Estadio de la Romareda,2019
797,547,0,0,0,Dámaso Arcediano,590080,1597953600,0.0,0.0,Estadio Manuel Martínez Valero,2019
547,797,0,1,2,"Jose Antonio Lopez Toca, Spain",590081,1598212800,0.0,0.0,Estadi Municipal de Montilivi,2019
722,544,1,1,0,"Valentin Pizarro Gomez, Spain",27519,1534536000,0.0,0.0,Carlos Belmonte,2018
711,731,1,1,0,"Jorge Figueroa Vazquez, Spain",27520,1534617000,0.0,0.0,Santo Domingo,2018
724,723,1,0,1,"Daniel Jesus Trujillo Suarez, Spain",27521,1534528800,0.0,0.0,Estadio Ramon de Carranza,2018
713,717,3,3,0,"Isidro Diaz de Mera Escuderos, Spain",27522,1534622400,1.0,0.0,Estadio Nuevo Arcángel,2018
797,715,0,0,0,"Santiago Varon Aceiton,",27523,1534611600,0.0,0.0,Estadio Manuel Martínez Valero,2018
714,719,1,1,0,"Saul Ais Reig, Spain",27524,1534788000,1.0,0.0,Nou Estadi Municipal,2018
534,729,2,0,1,"Luis Mario Milla Alvendiz,",27525,1534708800,1.0,0.0,Gran Canaria,2018
716,535,1,2,2,"Victor Areces Franco, Spain",27526,1534613400,1.0,0.0,Anxo Carro,2018
798,727,1,0,1,"Damaso Arcediano Monescillo, Spain",27527,1534698000,1.0,0.0,Iberostar Estadi,2018
718,860,1,1,0,"Javier Iglesias Villanueva, Spain",27528,1534698000,1.0,0.0,Jorge Garbajosa,2018
732,861,2,1,1,"Cesar Soto Grado, Spain",27529,1534703400,2.0,0.0,La Romareda,2018
723,719,1,1,0,"Isidro Diaz de Mera Escuderos, Spain",27530,1535313600,1.0,0.0,Estadio del Mediterráneo,2018
713,718,2,4,2,"Gorka Sagues Oscoz, Spain",27531,1535227200,0.0,2.0,Estadio Nuevo Arcángel,2018
860,544,0,1,2,"Oliver de la Fuente Ramos, Spain",27532,1535140800,0.0,0.0,Estadio Francisco de la Hera,2018
715,716,1,1,0,"Aitor Gorostegui Fernandez Orte, Spain",27533,1535308200,1.0,0.0,Nuevo Los Cármenes,2018
534,722,1,1,0,"Ruben Avalos Barrera,",27534,1535221800,1.0,0.0,Gran Canaria,2018
535,711,1,0,1,"Juan Luis Pulido Santana, Spain",27535,1535140800,0.0,0.0,La Rosaleda,2018
717,724,1,1,0,"Inaki Vicandi Garrido, Spain",27536,1535216400,1.0,1.0,Los Pajaritos,2018
727,797,1,1,0,"Daniel Ocon Arraiz, Spain",27537,1535304600,0.0,0.0,Estadio El Sadar,2018
861,798,0,1,2,"Abraham Dominguez Cervantes, Spain",27538,1535392800,0.0,1.0,Estadio Cerro del Espino,2018
729,732,0,0,0,"Jose Antonio Lopez Toca,",27539,1535216400,0.0,0.0,Estadio Municipal de Reus,2018
731,714,2,0,1,"David Perez Pallas, Spain",27540,1535302800,1.0,0.0,El Molinón-Enrique Castro Quini,2018
722,713,3,0,1,"Alvaro Moreno Aragon,",27541,1535911200,2.0,0.0,Carlos Belmonte,2018
711,798,1,0,1,"Victor Areces Franco, Spain",27542,1535738400,1.0,0.0,Santo Domingo,2018
723,535,0,1,2,"Valentin Pizarro Gomez, Spain",27543,1536001200,0.0,1.0,Estadio del Mediterráneo,2018
