id_jugador,nombre_jugador,equipo_jugador,id_equipo,temporada_equipo
1830,Gonçalo Paciência,Celta Vigo,538,2022
5921,A. Solari,Celta Vigo,538,2022
18998,Camarasa,Real Betis,543,2022
46782,Manuel Javier Vallejo Galván,Girona,547,2022
46812,A. Werner,Elche,797,2022
46961,Edgar Badia,Elche,797,2022
47445,Iago Aspas,Celta Vigo,538,2022
67955,Carles Pérez Sayol,Celta Vigo,538,2022
161879,K. Koindredi,Valencia,532,2022
182504,Gabri Veiga,Celta Vigo,538,2022
192434,Miguel Rodríguez,Celta Vigo,538,2022
269163,W. Swedberg,Celta Vigo,538,2022
286798,Fran López,Celta Vigo,538,2022
289444,L. Blanco,Elche,797,2022
313651,Hugo Sotelo,Celta Vigo,538,2022
320517,Pablo Durán,Celta Vigo,538,2022
329720,Hugo Álvarez,Celta Vigo,538,2022
348328,Jesús López,Elche,797,2022
400020,Luismi Quirant,Elche,797,2022
146,Álex Collado,Elche,797,2022
414,Omar Mascarell,Elche,797,2022
534,L. Magallán,Elche,797,2022
660,Pape Cheikh,Elche,797,2022
1983,E. Roco,Elche,797,2022
2486,H. Palacios,Elche,797,2022
30525,Pol Lirola,Elche,797,2022
46651,Clerc,Elche,797,2022
46817,Diego González,Elche,797,2022
46965,Gonzalo Verdú,Elche,797,2022
46973,Josan,Elche,797,2022
47002,Fidel,Elche,797,2022
47057,Raúl Guti,Elche,797,2022
47182,Tete Morente,Elche,797,2022
47378,Bigas,Elche,797,2022
47414,Gumbau,Elche,797,2022
75414,Nicolás Ezequiel Fernández Mercau,Elche,797,2022
122657,R. Nteka,Elche,797,2022
163208,Carles Soler,Elche,797,2022
195923,José Ángel Carmona Navarro,Elche,797,2022
608,Lucas Ariel Boyé,Elche,797,2022
612,E. Ponce,Elche,797,2022
1901,J. Amavi,Getafe,546,2022
5987,F. Angileri,Getafe,546,2022
6168,O. Alderete,Getafe,546,2022
19112,Kiko Casilla,Getafe,546,2022
46795,Domingos Duarte,Getafe,546,2022
47247,David Soria,Getafe,546,2022
47250,D. Dakonam,Getafe,546,2022
47257,D. Suárez,Getafe,546,2022
